wallet	window	side	asof_time	amount_lamports	supporting_flow_count	flow_ref	first_seen_time	first_seen_flow_ref	is_whale
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	7d	buy	1769713667	1040414674997	270	kfvRGkCidk4LwLumXmM94b1GSZBCuWrZbSPdMux76js6HyMNbFueRnP71Zkhw8qUWEsTxy6wLSL31fqpiJKH1gj	1769431452	4oonMKj41gNRH5ZrkJ5oQky3TBPvrAH7MoWcRu1MfPK9KY2KbQrpZww65E2MNvuvxnPhS26wcSDksgHfz8NBQuve	1
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	7d	sell	1769713675	829930962500	337	4mbru52iA2RavGehB9VQaXBosaNJ917DgGcJAxj71Z1twMdkVRo94P2EKWACm6CnzSfjJm497UmgMULtoWTqnumz	1769363516	2fmYa8pX9LooovW5JcVYk6KMond9T9zTfFg7Ezm4rr84hBQ6ih1tJUPXCt5HxKRuLM5oVq7rKcGdDb4uVaicLtpt	1
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	lifetime	buy	1769699633	30000089505	1	i29kaXVCZYWnuShxWHmW2QKnJb7AgAxJmZ8q3jbGrN2cvKCqXxH2iLduRiEsYALdw2G4EN6fpw83bKyfugD4BA3	1769430125	9RPsm4SQP3qq9XJTzCdJLN11C9X5PdrUwhbC4NYFPzDe4tMVJgZbZv5NZ5ZzouZ8fN3UShD8koePdHJSgwPRPkE	1
2e1w3Xo441Ytvwn54wCn8itAXwCKbiizc9ynGEv14Vis	lifetime	sell	1769517031	48326384049	1	244q2xQWwXYaRdr1YzG4BmfP6WpUGUP1tweqqTc4Dyv3abv2d2ZDRggGbbQZCZV8kTP173ZXsiKPZAhmQkY4prcD	1769329973	2uCfHvFeMkyGbwJXomugJKTJwPrkSPH1dbUTbCPS81Ltv7HcHXGvj4eXzvYMsWJMv44ofJEqkCjJ8A2U98J5Lyc	1
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	24h	buy	1769741140	986795410568	1855	4CytDaH341Cep9fX66Ezhbvrv1hes6x6CTvaK9DFBbvn45WZwj8mGVEvVhA56K2qSDz2RjnXx1sf4hrLC2aCxuA5	1769556387	2Z31JXKLCMtFmztxXrSb7YwmUi9HjTag73AQo7EivjNpFkit7HsJqQHWHfyvyb1zv4gSBvCrHCkSYLy7EmusCDa4	1
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	24h	sell	1769741035	1178766721905	559	4TpxhdcRwraGbkRTm5GPWhEAatwGVL1yjuGLkUwkW7Wk6A13fLBQfAwvhYxJxDnYz8WsZfxu2dNhtQpLz842JmPC	1769556171	jZKdikcBsSc1D7bmWwifP93Y1Xbx3EeduTFyLjhTt7N9vTs7u38S7jz1zTJ7D8mUDFpHqdkLc8ZryPABUg9CW8D	1
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	7d	buy	1769741140	2360065429197	4143	4CytDaH341Cep9fX66Ezhbvrv1hes6x6CTvaK9DFBbvn45WZwj8mGVEvVhA56K2qSDz2RjnXx1sf4hrLC2aCxuA5	1769563952	gsxbKKNQGptHTM1zq67HooAuZXDkYRyQfoDF4Vh3RGnWhkq1YaFEa8sudFZDtshvF8xRqsQrvVL6GnDoKUzBrWC	1
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	7d	sell	1769741035	2687404985094	1259	4TpxhdcRwraGbkRTm5GPWhEAatwGVL1yjuGLkUwkW7Wk6A13fLBQfAwvhYxJxDnYz8WsZfxu2dNhtQpLz842JmPC	1769562825	9LvZZKvSU9bjqWeBthYkomy56op16pLH6WjMY54Eu7KJvLbiqDc1AdQikGia4NTBYMeXeFy6SFNyfto1fWSUkW9	1
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	lifetime	buy	1769729897	10015044280	1	5XhTf6jYsV8AUbfzTLhj6LNSxkSKt7Ns3R123jJN1aaaMnb5tSjoHFw9G9xr3xRsbKYsP7KYbdo6FyscGCNuuwp3	1769561807	2ER996zRp3NokNMJUYKmu1PyUyi3Gua6gfWThKtt4yqjK1PkHEt7Skpoa2ptUcRFrVDkfVirembKXzhsdCez77pp	1
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	lifetime	sell	1769729576	19280308435	1	3SK8vUyvEzMPQEBpkY3DBBsSehn9JKSBB22KiEL6NpZ1VDPXJZH2mSQUVNT1gLP4ftfnoh3hEoPm9Ss7jAdzKNz6	1769562039	5ppq7o84saP8JDMhbxdAVH4FyLpW3FaLTxHanbmCR9TezFApk26wyK3fRnCBubbz3MPsqaHojwjwarhJYFQZCKwe	1
