wallet	window	side	transition_type	event_time	amount_lamports	supporting_flow_count	flow_ref
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	7d	sell	ENTER	1769562825	200466124192	99	9LvZZKvSU9bjqWeBthYkomy56op16pLH6WjMY54Eu7KJvLbiqDc1AdQikGia4NTBYMeXeFy6SFNyfto1fWSUkW9
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	lifetime	buy	ENTER	1769561807	10015079080	1	2ER996zRp3NokNMJUYKmu1PyUyi3Gua6gfWThKtt4yqjK1PkHEt7Skpoa2ptUcRFrVDkfVirembKXzhsdCez77pp
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f	lifetime	sell	ENTER	1769562039	15046622615	1	5ppq7o84saP8JDMhbxdAVH4FyLpW3FaLTxHanbmCR9TezFApk26wyK3fRnCBubbz3MPsqaHojwjwarhJYFQZCKwe
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	24h	buy	ENTER	1769191099	51975121282	22	653a4UsnwcAbC6PMRxWhzqxw1AVgM8npsgWmBBDUjjpnWAPhxT5k1bw7Xuwz73LkhnFwj6yXPybP3h9gyGTtyVd3
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	24h	sell	ENTER	1769152647	52100314840	8	49WdYm7ZmrmfhCw3zNFFxmgNsire4bSUoNkePZDyRrZCh6aCGNhsNvkgc1gomowg2GDxrLs16Ur4UGuXENFhSU6v
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	7d	buy	ENTER	1769322497	202031150369	83	BvjBBroJWTMEaoLHaatLeTFPGgVztAY6AhHpNGDfLWEVzgaZSqRQxg3jYL5eK6KiF1hiuuVWKzLV9Sg9T4Gjwet
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	7d	sell	ENTER	1769283884	200902830494	55	3m4gzPeggorU7Cjc9Jm7guajdw9J1xoUf2AT6QX3HRHqHEeh2BALhCfoqHyUdH17C3HCkS1Xr2jCbUEGE81KbJTE
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	lifetime	buy	ENTER	1769382764	10013079080	1	JyVeko2Eu8cHAroenJvK9iZETwrH35QaaRCturjxsGZuziNNfA4UEWQPr7SVYp7e6VS7DaETC6H6v5faME8a23q
2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9	lifetime	sell	ENTER	1769151573	32450510588	1	4gwLQGdeRukUtdo7egNNaYf5KoWYQ5p5McZ5HVqqFUnMt1Hs2RYAsLxFdXABfg6CuFapq8KTAaae9ZiVnb1SAWcF
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	24h	buy	ENTER	1769490894	50889698183	42	aH56j497ncwA8CvW6yAU8Nj97upBYsbN8BsAX48peVzhUD85BjoQJaY6YDCFXtcRVGs9jPV8HV5Bt5N7tE7r3DS
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	24h	sell	ENTER	1769286639	52296439746	14	yojRHJryR9CEWUisBoY2A1azJZJHQhMSn1NAHKhEWS5QazGaXb3AYPprCxqHKsGuywUFLMZepEfB85HGGDLR4gT
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	7d	buy	ENTER	1769567929	200394063737	131	5Fsw3L46oonh6vDcXzCtaqmedq3tA57pspcu7xoxh68h3i8hRPkkZTKRZFxq4j8WeACKtXPUhdAiCTnequK28agh
2net6etAtTe3Rbq2gKECmQwnzcKVXRaLcHy2Zy1iCiWz	7d	sell	ENTER	1769506063	200822639227	93	5peVBMhCW2aYgC1sjtULcrSHBmtrHp6mgZrETbxKmmo7xoZYkJPBGc65LYijc43AkRtMvT2aVJZRgEKkp1opgn7Q
