wallet	window	event_time	event_type	sol_amount_lamports	supporting_flow_count	flow_ref	created_at
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769197826	WHALE_TX_BUY	15180005000	1	3pnLuzLCqb9HJPKXXrqDrT3SR57MKuzWUrjg5TjGn9vL1cTggWveErE6uwV3fNnyTWqTwWNUeHrREQtfp46t5cc2	1769197826
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197826	WHALE_CUM_24H_BUY	240712683596	22	3pnLuzLCqb9HJPKXXrqDrT3SR57MKuzWUrjg5TjGn9vL1cTggWveErE6uwV3fNnyTWqTwWNUeHrREQtfp46t5cc2	1769197826
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769197826	WHALE_CUM_7D_BUY	240712683596	22	3pnLuzLCqb9HJPKXXrqDrT3SR57MKuzWUrjg5TjGn9vL1cTggWveErE6uwV3fNnyTWqTwWNUeHrREQtfp46t5cc2	1769197826
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769197839	WHALE_TX_BUY	10111005000	1	2wuhouTWUrooYDdmjz1ERg4Pzkz6WCNdhKPkHoh8EGa4onrHXQ74mqQYvrBVVPDVDRxn9JNy8T4kCXZVkKtY5jb1	1769197839
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197839	WHALE_CUM_24H_BUY	250823688596	23	2wuhouTWUrooYDdmjz1ERg4Pzkz6WCNdhKPkHoh8EGa4onrHXQ74mqQYvrBVVPDVDRxn9JNy8T4kCXZVkKtY5jb1	1769197839
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769197839	WHALE_CUM_7D_BUY	250823688596	23	2wuhouTWUrooYDdmjz1ERg4Pzkz6WCNdhKPkHoh8EGa4onrHXQ74mqQYvrBVVPDVDRxn9JNy8T4kCXZVkKtY5jb1	1769197839
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769197969	WHALE_TX_SELL	21134180085	1	HwEZY2pqrbYEPPn5o3q6JqY4eho14RSTzmGNaonP5ePG2huMjTaCz15sB83PWkqVKCr1cSPVs9D33KojS938XiF	1769197969
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197969	WHALE_CUM_24H_SELL	85790943604	15	HwEZY2pqrbYEPPn5o3q6JqY4eho14RSTzmGNaonP5ePG2huMjTaCz15sB83PWkqVKCr1cSPVs9D33KojS938XiF	1769197969
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769197972	WHALE_TX_SELL	18716364491	1	NfDxwZ77eETyiMNax9KMmquZmpKu1AL9VD7xGCyHorMeWq8p3yMAXAywpNarbEoYeqS3EEHEk7EAQcU71QvEMRP	1769197972
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197972	WHALE_CUM_24H_SELL	104507308095	16	NfDxwZ77eETyiMNax9KMmquZmpKu1AL9VD7xGCyHorMeWq8p3yMAXAywpNarbEoYeqS3EEHEk7EAQcU71QvEMRP	1769197972
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769197998	WHALE_CUM_24H_BUY	253864693596	24	jMYn7tumqdmbyMAZyTrDwZShnfwYFF5kPmdv2otf4GKo31HcPYRextPH7TQwU2fHAkVizAosmRT418CywWiGksg	1769197998
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769197998	WHALE_CUM_7D_BUY	253864693596	24	jMYn7tumqdmbyMAZyTrDwZShnfwYFF5kPmdv2otf4GKo31HcPYRextPH7TQwU2fHAkVizAosmRT418CywWiGksg	1769197998
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769201433	WHALE_TX_BUY	15182079080	1	5oyXH9zV7AGo6jeHAxxcdYu6oZX3C2Le6s4JmdQ97gWnEzGPuYEF3Rt4HAMn8VGZ1usbdmCyqwdNxuuTwCm6A7FL	1769201433
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769201433	WHALE_CUM_24H_BUY	269046772676	25	5oyXH9zV7AGo6jeHAxxcdYu6oZX3C2Le6s4JmdQ97gWnEzGPuYEF3Rt4HAMn8VGZ1usbdmCyqwdNxuuTwCm6A7FL	1769201433
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769201433	WHALE_CUM_7D_BUY	269046772676	25	5oyXH9zV7AGo6jeHAxxcdYu6oZX3C2Le6s4JmdQ97gWnEzGPuYEF3Rt4HAMn8VGZ1usbdmCyqwdNxuuTwCm6A7FL	1769201433
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769202040	WHALE_CUM_24H_SELL	109316620996	17	48rnUSWLfoM1zKXLWAwHXUSPZHQn5aqmHqcZCniZ8EERst64QvzhRC593Jj5fP1LwfnzFk5KQfoFnCNpZHUVB4nv	1769202040
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769204263	WHALE_TX_SELL	32258466128	1	rn8M7frX2za9rnEtEYomB5FtdcaJvHioanH7AWFkMwbX1itBFM7awNU1DCET7WkehnND6RwZRrPqRvaMZvW5JvK	1769204263
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769204263	WHALE_CUM_24H_SELL	141575087124	18	rn8M7frX2za9rnEtEYomB5FtdcaJvHioanH7AWFkMwbX1itBFM7awNU1DCET7WkehnND6RwZRrPqRvaMZvW5JvK	1769204263
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	lifetime	1769204289	WHALE_TX_BUY	15163079080	1	4pZUbqyTE867CrxpZ9SVmCUKez2N7Ewz5ib7JwTmxp5Km4h6jbbK1RCWoqc3QXN25JSnRkkunZb9v2ap346GqWH1	1769204289
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769204289	WHALE_CUM_24H_BUY	284209851756	26	4pZUbqyTE867CrxpZ9SVmCUKez2N7Ewz5ib7JwTmxp5Km4h6jbbK1RCWoqc3QXN25JSnRkkunZb9v2ap346GqWH1	1769204289
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769204289	WHALE_CUM_7D_BUY	284209851756	26	4pZUbqyTE867CrxpZ9SVmCUKez2N7Ewz5ib7JwTmxp5Km4h6jbbK1RCWoqc3QXN25JSnRkkunZb9v2ap346GqWH1	1769204289
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769205698	WHALE_CUM_24H_BUY	290280856756	27	46N1ZeuKuZnRC6DxxvNyS3qUP6CAYfNJ9bMS6qx3MouQMLwAsqk3Wut3AA1xkHcU4NLfQL2it3MTKdLUmVfrcfe8	1769205698
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	7d	1769205698	WHALE_CUM_7D_BUY	290280856756	27	46N1ZeuKuZnRC6DxxvNyS3qUP6CAYfNJ9bMS6qx3MouQMLwAsqk3Wut3AA1xkHcU4NLfQL2it3MTKdLUmVfrcfe8	1769205698
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP	24h	1769208331	WHALE_CUM_24H_SELL	147785982915	19	2edz17Gq7pYCsZvYu6m39CbrQdsRnUfAxr74oPTvfaoUNUNaBafmo5WKuCoAKLqqJzhAPqUxhyMGs6uw8hgnKBhC	1769208331
